X1,Y1,Z1,X2,Y2,Z2
628.5,1591.5,480,625.5,1596,480
625.5,1596,480,616.5,1593,465
616.5,1593,465,601.5,1527,461.25
601.5,1527,461.25,645,1467,431.25
645,1467,431.25,649.5,1446,412.5
649.5,1446,412.5,678,1465.5,397.5
678,1465.5,397.5,717,1462.5,390
717,1462.5,390,729,1453.5,375
729,1453.5,375,754.5,1434,363.75
754.5,1434,363.75,784.5,1425,315
784.5,1425,315,783,1414.5,281.25
783,1414.5,281.25,805.5,1449,258.75
805.5,1449,258.75,816,1459.5,243.75
816,1459.5,243.75,825,1456.5,225
825,1456.5,225,793.5,1438.5,187.5
793.5,1438.5,187.5,784.5,1419,183.75
784.5,1419,183.75,739.5,1411.5,78.75
739.5,1411.5,78.75,738,1416,71.25
738,1416,71.25,762.510559,1453.657104,37.559395
762.510559,1453.657104,37.559395,790.5,1464,71.25
790.5,1464,71.25,798.084778,1488.482544,104.153542
798.084778,1488.482544,104.153542,810,1470,90
810,1470,90,790.5,1464,71.25
810,1470,90,852,1467,78.75
852,1467,78.75,894,1416,101.25
894,1416,101.25,903,1407,97.5
903,1407,97.5,913.5,1404,93.75
913.5,1404,93.75,976.407654,1437.033325,83.836632
976.407654,1437.033325,83.836632,1005,1416,75
1005,1416,75,1020,1384.5,30
1005,1416,75,1054.5,1432.5,105
1054.5,1432.5,105,1054.359741,1443.155396,62.976677
1054.359741,1443.155396,62.976677,1000.5,1489.5,30
1054.5,1432.5,105,1063.5,1428,127.5
1063.5,1428,127.5,1090.889771,1467.132812,128.615463
1090.889771,1467.132812,128.615463,1105.5,1464,97.5
1105.5,1464,97.5,1114.5,1468.5,56.25
1114.5,1468.5,56.25,1122,1449,30
1114.5,1468.5,56.25,1041,1476,30
1114.5,1468.5,56.25,1158,1542,67.5
1158,1542,67.5,1162.5,1558.5,30
1158,1542,67.5,1143,1557,86.25
1143,1557,86.25,1129.5,1587,75
1129.5,1587,75,1131.734497,1626.374512,85.416962
1131.734497,1626.374512,85.416962,1093.5,1732.5,30
1129.5,1587,75,1093.051025,1611.508423,79.41256
1093.051025,1611.508423,79.41256,1104,1605,116.25
1104,1605,116.25,1066.5,1576.5,108.75
1066.5,1576.5,108.75,1057.5,1573.5,78.75
1057.5,1573.5,78.75,1066.5,1588.5,30
1057.5,1573.5,78.75,1047,1569,108.75
1047,1569,108.75,1027.5,1564.5,82.5
1027.5,1564.5,82.5,1029,1572,52.5
1029,1572,52.5,1030.5,1599,41.25
1030.5,1599,41.25,1027.5,1642.5,30
1030.5,1599,41.25,1024.5,1630.5,71.25
1024.5,1630.5,71.25,1054.5,1659,30
1024.5,1630.5,71.25,985.5,1627.5,105
985.5,1627.5,105,946.5,1611,105
946.5,1611,105,924,1639.5,30
946.5,1611,105,927,1551,97.5
927,1551,97.5,933,1546.5,86.25
933,1546.5,86.25,940.5,1566,30
933,1546.5,86.25,949.5,1534.5,105
949.5,1534.5,105,977.658936,1484.580688,95.294899
977.658936,1484.580688,95.294899,1017,1521,82.5
1017,1521,82.5,1015.5,1525.5,75
1015.5,1525.5,75,1029,1572,52.5
1015.5,1525.5,75,1027.5,1564.5,82.5
1017,1521,82.5,1036.5,1516.5,112.5
1036.5,1516.5,112.5,1038,1498.5,135
1038,1498.5,135,1047,1519.5,127.5
1047,1519.5,127.5,1036.5,1516.5,112.5
1047,1519.5,127.5,1105.5,1531.5,120
1105.5,1531.5,120,1122,1525.5,123.75
1122,1525.5,123.75,1143,1557,86.25
1122,1525.5,123.75,1132.5,1509,116.25
1132.5,1509,116.25,1110,1464,105
1110,1464,105,1120.5,1437,123.75
1120.5,1437,123.75,1117.5,1425,120
1117.5,1425,120,1056.578979,1384.712402,90.3909
1056.578979,1384.712402,90.3909,1054.5,1341,90
1054.5,1341,90,1048.312744,1328.074219,46.644558
1048.312744,1328.074219,46.644558,1068,1350,30
1068,1350,30,1109.394165,1340.041504,30
1109.394165,1340.041504,30,1161.579468,1390.260498,48.439587
1161.579468,1390.260498,48.439587,1155,1390.5,101.25
1155,1390.5,101.25,1190.457275,1376.497314,114.25222
1190.457275,1376.497314,114.25222,1168.5,1377,157.5
1168.5,1377,157.5,1155,1390.5,101.25
1168.5,1377,157.5,1131,1380,183.75
1131,1380,183.75,1009.59314,1316.401978,195.009872
1009.59314,1316.401978,195.009872,987,1338,217.5
987,1338,217.5,973.5,1375.5,210
973.5,1375.5,210,964.5,1383,198.75
964.5,1383,198.75,957,1372.5,195
957,1372.5,195,948,1378.5,180
948,1378.5,180,952.5,1386,176.25
952.5,1386,176.25,951,1393.5,157.5
951,1393.5,157.5,969,1405.5,150
969,1405.5,150,1008.974304,1428.3479,164.997559
1008.974304,1428.3479,164.997559,1006.5,1459.5,146.25
1006.5,1459.5,146.25,1035,1384.5,157.5
1035,1384.5,157.5,1030.5,1368,165
1030.5,1368,165,987,1362,127.5
987,1362,127.5,967.5,1350,78.75
