Node,X,Y,Z
1,628.5,1591.5,480
2,625.5,1596,480
3,616.5,1593,465
4,601.5,1527,461.25
5,645,1467,431.25
6,649.5,1446,412.5
7,678,1465.5,397.5
8,717,1462.5,390
9,729,1453.5,375
10,754.5,1434,363.75
11,784.5,1425,315
12,783,1414.5,281.25
13,805.5,1449,258.75
14,816,1459.5,243.75
15,825,1456.5,225
16,793.5,1438.5,187.5
17,784.5,1419,183.75
18,739.5,1411.5,78.75
19,738,1416,71.25
20,762.510559,1453.657104,37.559395
21,790.5,1464,71.25
22,798.084778,1488.482544,104.153542
23,810,1470,90
24,852,1467,78.75
25,894,1416,101.25
26,903,1407,97.5
27,913.5,1404,93.75
28,976.407654,1437.033325,83.836632
29,1005,1416,75
30,1020,1384.5,30
31,1054.5,1432.5,105
32,1054.359741,1443.155396,62.976677
33,1000.5,1489.5,30
34,1063.5,1428,127.5
35,1090.889771,1467.132812,128.615463
36,1105.5,1464,97.5
37,1114.5,1468.5,56.25
38,1122,1449,30
39,1041,1476,30
40,1158,1542,67.5
41,1162.5,1558.5,30
42,1143,1557,86.25
43,1129.5,1587,75
44,1131.734497,1626.374512,85.416962
45,1093.5,1732.5,30
46,1093.051025,1611.508423,79.41256
47,1104,1605,116.25
48,1066.5,1576.5,108.75
49,1057.5,1573.5,78.75
50,1066.5,1588.5,30
51,1047,1569,108.75
52,1027.5,1564.5,82.5
53,1029,1572,52.5
54,1030.5,1599,41.25
55,1027.5,1642.5,30
56,1024.5,1630.5,71.25
57,1054.5,1659,30
58,985.5,1627.5,105
59,946.5,1611,105
60,924,1639.5,30
61,927,1551,97.5
62,933,1546.5,86.25
63,940.5,1566,30
64,949.5,1534.5,105
65,977.658936,1484.580688,95.294899
66,1017,1521,82.5
67,1015.5,1525.5,75
68,1036.5,1516.5,112.5
69,1038,1498.5,135
70,1047,1519.5,127.5
71,1105.5,1531.5,120
72,1122,1525.5,123.75
73,1132.5,1509,116.25
74,1110,1464,105
75,1120.5,1437,123.75
76,1117.5,1425,120
77,1056.578979,1384.712402,90.3909
78,1054.5,1341,90
79,1048.312744,1328.074219,46.644558
80,1068,1350,30
81,1109.394165,1340.041504,30
82,1161.579468,1390.260498,48.439587
83,1155,1390.5,101.25
84,1190.457275,1376.497314,114.25222
85,1168.5,1377,157.5
86,1131,1380,183.75
87,1009.59314,1316.401978,195.009872
88,987,1338,217.5
89,973.5,1375.5,210
90,964.5,1383,198.75
91,957,1372.5,195
92,948,1378.5,180
93,952.5,1386,176.25
94,951,1393.5,157.5
95,969,1405.5,150
96,1008.974304,1428.3479,164.997559
97,1006.5,1459.5,146.25
98,1035,1384.5,157.5
99,1030.5,1368,165
100,987,1362,127.5
101,967.5,1350,78.75
102,940.5,1297.5,30
103,985.5,1366.5,30
104,964.5,1387.5,195
105,910.5,1389,206.25
106,892.5,1387.5,210
107,877.5,1386,221.25
